134217728 3 3 353 244 343.5 404.5 0 0 0 0 0.550073 
134217728 3 16 364 245 1813 1940.75 0 0 0 0 0.547827 
134217728 16 3 328 260 540.75 603.25 0 0 0 0 0.516222 
134217728 16 16 342 245 2884.75 2937 0 0 0 0 0.547827 
268435456 3 3 472 297 717.5 783.25 0 0 0 0 0.903823 
268435456 3 16 482 301 3622.5 3860 0 0 0 0 0.891812 
268435456 16 3 450 303 1030.5 1153.25 0 0 0 0 0.885926 
268435456 16 16 464 323 5489.75 5782.75 0 0 0 0 0.83107 
536870912 3 3 687 417 1365.5 1524 0 0 0 0 1.28746 
536870912 3 16 701 432 7211.5 7651.5 0 0 0 0 1.24276 
536870912 16 3 700 436 2071.75 2274 0 0 0 0 1.23136 
536870912 16 16 693 425 10732.5 11110.8 0 0 0 0 1.26323 
1073741824 3 3 1087 723 2730.5 2893 0 0 0 0 1.48512 
1073741824 3 16 1105 677 14331 15083.2 0 0 0 0 1.58603 
1073741824 16 3 1121 621 4243.75 4542 0 0 0 0 1.72905 
1073741824 16 16 1126 675 21693.2 22131.8 0 0 0 0 1.59073 
