134217728 3 3 364 252 247.25 312.25 6.02057 3.23624 6.03805 3.21966 0.53261 
134217728 3 16 353 252 1326.25 1393.25 6.02067 3.23417 6.01209 3.23548 0.53261 
134217728 16 3 364 236 428.25 487.75 6.01946 3.23536 5.99422 3.23224 0.568719 
134217728 16 16 346 237 2232 2429.75 6.01998 3.23402 6.02629 3.23078 0.56632 
268435456 3 3 465 298 497.25 573.75 6.02992 3.24095 6.04913 3.23805 0.90079 
268435456 3 16 471 296 2627 2716.25 6.04803 3.24016 6.06825 3.23629 0.906877 
268435456 16 3 459 319 877.25 918.5 6.04115 3.23801 6.06932 3.2415 0.84149 
268435456 16 16 441 337 4440.5 4553 6.02202 3.23832 6.06489 3.23836 0.796544 
536870912 3 3 700 424 992.75 1090.5 6.06359 3.24646 6.05079 3.24562 1.2662 
536870912 3 16 683 465 5187.75 5419 6.07735 3.24847 6.0669 3.24239 1.15456 
536870912 16 3 694 400 1682.5 1881.5 6.05816 3.24188 6.07858 3.24192 1.34218 
536870912 16 16 697 449 8947.25 9333.75 6.04614 3.2477 6.07288 3.24399 1.1957 
1073741824 3 3 1083 649 1955 2145 6.07066 3.24862 6.04671 3.23427 1.65446 
1073741824 3 16 1115 721 10317 10708.8 6.08616 3.25061 6.04499 3.24306 1.48924 
1073741824 16 3 1124 655 3328 3520 6.07129 3.24908 6.0481 3.24309 1.6393 
1073741824 16 16 1121 708 17563.2 18145.5 6.0627 3.24543 6.03084 3.18544 1.51658 
