4194304  1 0.294295
4194304  2 0.265298
4194304  3 0.235364
4194304  4 0.285056
4194304  5 0.238833
4194304  6 0.229717
4194304  7 0.210162
4194304  8 0.21429
8388608  1 0.4108
8388608  2 0.428462
8388608  3 0.343788
8388608  4 0.282783
8388608  5 0.315318
8388608  6 0.295045
8388608  7 0.268693
8388608  8 0.343083
16777216  1 0.635506
16777216  2 0.50482
16777216  3 0.486852
16777216  4 0.419466
16777216  5 0.45882
16777216  6 0.421999
16777216  7 0.418784
16777216  8 0.353846
25165824  1 0.72881
25165824  2 0.621074
25165824  3 0.579569
25165824  4 0.5623
25165824  5 0.484816
25165824  6 0.575926
25165824  7 0.400796
25165824  8 0.384199
33554432  1 0.703816
33554432  2 0.613035
33554432  3 0.61785
33554432  4 0.555026
33554432  5 0.573625
33554432  6 0.498123
33554432  7 0.482115
33554432  8 0.436382
41943040  1 0.704197
41943040  2 0.605351
41943040  3 0.66613
41943040  4 0.584303
41943040  5 0.63381
41943040  6 0.579759
41943040  7 0.489365
41943040  8 0.500943
419430400  1 0.815386
419430400  2 0.746725
419430400  3 0.752292
419430400  4 0.704847
419430400  5 0.726335
419430400  6 0.68022
419430400  7 0.722716
419430400  8 0.753121
4194304000  1 0.782515
4194304000  2 0.670981
4194304000  3 0.73832
4194304000  4 0.733265
4194304000  5 0.74833
4194304000  6 0.741299
4194304000  7 0.723112
4194304000  8 0.789578
8388608000  1 0.821322
8388608000  2 0.742975
8388608000  3 0.717791
8388608000  4 0.743131
8388608000  5 0.730856
8388608000  6 0.730988
8388608000  7 0.744641
8388608000  8 0.775974
