4096  1 0.00205722
4096  2 0.00223488
4096  3 0.0011871
4096  4 0.00230602
4096  5 0.00120088
4096  6 0.00220989
4096  7 0.00230835
4096  8 0.00234949
8192  1 0.00243617
8192  2 0.00243962
8192  3 0.00471344
8192  4 0.00249021
8192  5 0.00461122
8192  6 0.00237413
8192  7 0.00240794
8192  8 0.00236551
16384  1 0.0120068
16384  2 0.00868979
16384  3 0.00886086
16384  4 0.00906405
16384  5 0.00858664
16384  6 0.00490171
16384  7 0.00465762
16384  8 0.00922933
24576  1 0.0126488
24576  2 0.0118627
24576  3 0.00722047
24576  4 0.0127288
24576  5 0.0132057
24576  6 0.013078
24576  7 0.0131363
24576  8 0.00714039
32768  1 0.0226743
32768  2 0.0088712
32768  3 0.0175168
32768  4 0.0175847
32768  5 0.0177652
32768  6 0.0173195
32768  7 0.0166442
32768  8 0.00920088
40960  1 0.0212929
40960  2 0.0106445
40960  3 0.0212092
40960  4 0.0112559
40960  5 0.0219148
40960  6 0.0120897
40960  7 0.0214188
40960  8 0.0220684
409600  1 0.177373
409600  2 0.129086
409600  3 0.0820129
409600  4 0.0703098
409600  5 0.069814
409600  6 0.0569106
409600  7 0.0527212
409600  8 0.0497264
4096000  1 0.618105
4096000  2 0.399213
4096000  3 0.512556
4096000  4 0.472612
4096000  5 0.488149
4096000  6 0.499423
4096000  7 0.481261
4096000  8 0.559093
8192000  1 0.540867
8192000  2 0.491187
8192000  3 0.582176
8192000  4 0.628416
8192000  5 0.823594
8192000  6 0.720188
8192000  7 0.789614
8192000  8 0.901521
